occurrenceID	measurementValue	measurementType	measurementUnit
EE0493_asv.801	767	sequence reads	
EE0493_asv.803	55	sequence reads	
EE0493_asv.804	135	sequence reads	
EE0493_asv.805	9	sequence reads	
EE0493_asv.806	46	sequence reads	
EE0493_asv.807	2	sequence reads	
EE0493_asv.809	498	sequence reads	
EE0493_asv.810	31	sequence reads	
EE0493_asv.811	810	sequence reads	
EE0493_asv.815	1	sequence reads	
EE0493_asv.818	118	sequence reads	
EE0493_asv.819	9	sequence reads	
EE0493_asv.820	65	sequence reads	
EE0493_asv.821	24	sequence reads	
EE0493_asv.822	51	sequence reads	
EE0493_asv.823	754	sequence reads	
EE0493_asv.826	2	sequence reads	
EE0493_asv.828	38	sequence reads	
EE0493_asv.829	124	sequence reads	
EE0493_asv.831	23	sequence reads	
EE0493_asv.833	1	sequence reads	
EE0493_asv.835	32	sequence reads	
EE0493_asv.836	80	sequence reads	
EE0493_asv.837	1	sequence reads	
EE0493_asv.838	1	sequence reads	
EE0493_asv.839	6	sequence reads	
EE0493_asv.842	2	sequence reads	
EE0493_asv.843	28	sequence reads	
EE0493_asv.844	53	sequence reads	
EE0493_asv.845	1	sequence reads	
EE0493_asv.846	82	sequence reads	
EE0493_asv.847	131	sequence reads	
EE0493_asv.848	71	sequence reads	
EE0493_asv.850	44	sequence reads	
EE0493_asv.851	449	sequence reads	
EE0493_asv.852	116	sequence reads	
EE0493_asv.853	310	sequence reads	
EE0493_asv.855	21	sequence reads	
EE0493_asv.856	29	sequence reads	
EE0493_asv.857	33	sequence reads	
EE0493_asv.858	667	sequence reads	
EE0493_asv.859	10	sequence reads	
EE0493_asv.860	742	sequence reads	
EE0493_asv.861	106	sequence reads	
EE0493_asv.863	648	sequence reads	
EE0493_asv.864	20	sequence reads	
EE0493_asv.865	35	sequence reads	
EE0493_asv.869	55	sequence reads	
EE0493_asv.871	119	sequence reads	
EE0493_asv.872	26	sequence reads	
EE0493_asv.873	540	sequence reads	
EE0493_asv.875	68	sequence reads	
EE0493_asv.876	565	sequence reads	
EE0493_asv.877	96	sequence reads	
EE0493_asv.878	48	sequence reads	
EE0493_asv.879	12	sequence reads	
EE0493_asv.880	26	sequence reads	
EE0493_asv.881	193	sequence reads	
EE0493_asv.882	41	sequence reads	
EE0493_asv.883	2	sequence reads	
EE0493_asv.887	33	sequence reads	
EE0493_asv.888	76	sequence reads	
EE0493_asv.893	63	sequence reads	
EE0493_asv.894	1	sequence reads	
EE0493_asv.899	13	sequence reads	
EE0493_asv.900	34	sequence reads	
EE0493_asv.901	7	sequence reads	
EE0493_asv.903	48	sequence reads	
EE0493_asv.905	44	sequence reads	
EE0493_asv.906	96	sequence reads	
EE0493_asv.907	93	sequence reads	
EE0493_asv.908	47	sequence reads	
EE0493_asv.909	34	sequence reads	
EE0493_asv.912	2	sequence reads	
EE0493_asv.913	177	sequence reads	
EE0493_asv.916	33	sequence reads	
EE0493_asv.917	50	sequence reads	
EE0493_asv.918	21	sequence reads	
EE0493_asv.919	670	sequence reads	
EE0493_asv.920	24	sequence reads	
EE0493_asv.922	13	sequence reads	
EE0493_asv.923	64	sequence reads	
EE0493_asv.924	85	sequence reads	
EE0493_asv.927	31	sequence reads	
EE0493_asv.929	57	sequence reads	
EE0493_asv.930	70	sequence reads	
EE0493_asv.931	238	sequence reads	
EE0493_asv.932	31	sequence reads	
EE0493_asv.933	505	sequence reads	
EE0493_asv.934	57	sequence reads	
EE0493_asv.940	17	sequence reads	
EE0493_asv.941	70	sequence reads	
EE0493_asv.942	18	sequence reads	
EE0493_asv.943	15	sequence reads	
EE0493_asv.945	51	sequence reads	
EE0493_asv.946	1	sequence reads	
EE0493_asv.947	100	sequence reads	
EE0493_asv.948	42	sequence reads	
EE0493_asv.950	2	sequence reads	
EE0493_asv.951	17	sequence reads	
EE0493_asv.956	28	sequence reads	
EE0493_asv.957	498	sequence reads	
EE0493_asv.958	644	sequence reads	
EE0493_asv.962	91	sequence reads	
EE0493_asv.964	2	sequence reads	
EE0493_asv.965	74	sequence reads	
EE0493_asv.967	21	sequence reads	
EE0493_asv.969	8	sequence reads	
EE0493_asv.970	478	sequence reads	
EE0493_asv.973	27	sequence reads	
EE0493_asv.974	74	sequence reads	
EE0493_asv.976	8	sequence reads	
EE0493_asv.977	42	sequence reads	
EE0493_asv.980	68	sequence reads	
EE0493_asv.981	72	sequence reads	
EE0493_asv.984	49	sequence reads	
EE0493_asv.985	60	sequence reads	
EE0493_asv.987	1	sequence reads	
EE0493_asv.991	19	sequence reads	
EE0493_asv.993	67	sequence reads	
EE0493_asv.995	11	sequence reads	
EE0493_asv.998	207	sequence reads	
EE0493_asv.999	53	sequence reads	
EE0493_asv.1000	8	sequence reads	
EE0493_asv.1001	53	sequence reads	
EE0493_asv.1002	69	sequence reads	
EE0493_asv.1003	25	sequence reads	
EE0493_asv.1004	21	sequence reads	
EE0493_asv.1005	75	sequence reads	
EE0493_asv.1006	13	sequence reads	
EE0493_asv.1007	3	sequence reads	
EE0493_asv.1008	23	sequence reads	
EE0493_asv.1009	90	sequence reads	
EE0493_asv.1010	46	sequence reads	
EE0493_asv.1014	41	sequence reads	
EE0493_asv.1015	10	sequence reads	
EE0493_asv.1017	10	sequence reads	
EE0493_asv.1018	4	sequence reads	
EE0493_asv.1020	2	sequence reads	
EE0493_asv.1026	574	sequence reads	
EE0493_asv.1028	2	sequence reads	
EE0493_asv.1030	30	sequence reads	
EE0493_asv.1032	31	sequence reads	
EE0493_asv.1035	35	sequence reads	
EE0493_asv.1036	10	sequence reads	
EE0493_asv.1037	79	sequence reads	
EE0493_asv.1038	53	sequence reads	
EE0493_asv.1039	312	sequence reads	
EE0493_asv.1040	573	sequence reads	
EE0493_asv.1043	198	sequence reads	
EE0493_asv.1045	355	sequence reads	
EE0493_asv.1046	45	sequence reads	
EE0493_asv.1047	23	sequence reads	
EE0493_asv.1048	72	sequence reads	
EE0493_asv.1049	129	sequence reads	
EE0493_asv.1051	194	sequence reads	
EE0493_asv.1052	24	sequence reads	
EE0493_asv.1053	29	sequence reads	
EE0493_asv.1054	32	sequence reads	
EE0493_asv.1056	391	sequence reads	
EE0493_asv.1058	25	sequence reads	
EE0493_asv.1059	85	sequence reads	
EE0493_asv.1060	557	sequence reads	
EE0493_asv.1061	115	sequence reads	
