eventID	materialSampleID	eventDate	locality	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	higherGeography	minimumDepthInMeters	maximumDepthInMeters	sampleSizeValue	sampleSizeUnit	organismQuantity	occurrenceID	organismQuantityType	verbatimIdentification	samplingProtocol	scientificName	scientificNameID	occurrenceStatus	basisOfRecord
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	3295	EE0493_asv.115	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	131	EE0493_asv.116	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	508	EE0493_asv.117	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	411	EE0493_asv.118	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	156	EE0493_asv.120	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	35	EE0493_asv.122	sequence reads	Metazoa	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Metazoa	urn:lsid:marinespecies.org:taxname:1486573	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	2447	EE0493_asv.123	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1903	EE0493_asv.124	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	13	EE0493_asv.125	sequence reads	undef_Oomycota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection			present	MaterialSample
EE0493	EE0493	2023-04-24	Ile esprit	46.2253634	-9.42518	20	Aldabra Atoll	10	10	1450	ml	1992	EE0493_asv.126	sequence reads	Eukaryota	https://github.com/BeBOP-OBON/UNESCO_protocol_collection	Incertae sedis	urn:lsid:marinespecies.org:taxname:12	present	MaterialSample
